"","W1","W2","W3","W4","W5","A","Y"
"1",0,0.592086706752502,-1.05903007525677,0,-1.19421279786984,0,0
"2",0,0.690254814099409,-0.585403282495903,0,-0.693665252045285,0,1
"3",0,0.609542868961521,-0.742513046129432,0,-1.03743148557684,0,1
"4",1,0.495402617269419,-2.87174349106441,0,2.02758740115354,0,1
"5",1,0.759072934381149,-4.18724131964396,0,-2.66566407854172,1,1
"6",1,0.314103788270178,1.75655852238201,1,1.53525881126575,0,1
"7",0,0.654660948380003,-2.03913748930798,0,-3.54027264283205,1,0
"8",0,0.363271572504413,4.44268255950037,1,0.314151244660068,0,1
"9",0,0.61660160792013,-1.23593346909497,0,-1.11256270980131,0,0
"10",1,0.51509873090209,-3.28358574992785,0,-0.092188075167928,0,1
"11",1,0.466553493022065,-4.61146727131762,0,0.180180643983853,0,1
"12",0,0.509738877015673,-2.57862463440736,0,-1.48883365562169,1,0
"13",0,0.475076813271598,0.684087056604601,1,-0.691391558099142,1,1
"14",1,0.512154210475708,0.48412957453351,1,-1.2611483881585,0,1
"15",1,0.332627587191339,-1.76635072444414,0,1.86565973480069,0,1
"16",0,0.272075160620806,6.19064596067882,1,0.912586248721292,1,1
"17",0,0.507627529629225,0.839342194825398,1,-4.46431937942804,1,0
"18",0,0.613870477013521,-0.577584729502099,0,-3.54096223955171,1,0
"19",1,0.662046382173655,-4.44238807484431,0,0.413057262910336,0,0
"20",1,0.517190778707323,-0.969099862897445,0,0.201500405495406,0,1
"21",0,0.46212127253901,3.75545202707482,1,-0.976017165118328,0,0
"22",1,0.603477946852,-7.15110916426492,0,-1.25697622171847,1,0
"23",0,0.617474540230091,3.1058801231049,1,-2.28329154021723,1,0
"24",0,0.595298625975144,-3.0458550184875,0,0.806344886653321,0,1
"25",0,0.416384400036351,2.45109139824394,1,1.3857452127596,1,1
"26",1,0.185489337420604,4.02338340201394,1,0.126123771464346,1,1
"27",1,0.288598748188887,-2.6408110152005,0,1.24555193857767,0,1
"28",0,0.660918358945155,-3.10584648842201,0,-1.91921773464245,1,0
"29",0,0.48435709906831,0.0742260415185069,1,0.979117124143955,0,1
"30",0,0.607915761040062,-2.86000034575669,0,3.2873861547167,0,1
"31",0,0.399419724055232,1.03415557266793,1,1.46440521379329,0,1
"32",1,0.374506153999145,-0.543358350925689,0,0.233644205987424,1,1
"33",0,0.339684392760518,3.88160196960333,1,1.70457557936311,1,1
"34",1,0.565378522528045,-3.47669086800817,0,0.368290796511473,0,1
"35",0,0.603140012670679,-0.779242534797673,0,-1.26616019178973,1,0
"36",0,0.601503126746465,0.63982273031959,1,-0.725952079511988,0,1
"37",0,0.588751877918185,0.0928798525016142,1,-1.83768838674763,1,0
"38",0,0.558291607994125,-1.75982319054736,0,-0.659713443840647,0,0
"39",1,0.492234241855658,-1.29115371776243,0,-4.39475617241062,1,1
"40",1,0.487652843898874,-4.4243011122547,0,-1.53833189820572,1,0
"41",0,0.472753295028468,2.87504982702578,1,-0.846733192114546,0,0
"42",1,0.487552601316515,-1.36605626760279,0,3.1138245525907,0,1
"43",1,0.540960278889632,-3.75372689230385,0,0.803587778295188,0,1
"44",1,0.481672038453517,-1.74588501245671,0,2.83567574958776,0,1
"45",1,0.34743169213572,1.358110211205,1,-2.1446763255865,1,1
"46",1,0.782310470546413,-3.81856653502267,0,2.0283622235578,0,1
"47",0,0.570477352542511,-3.01912741862779,0,-1.60016824303142,0,0
"48",1,0.517896271517675,-1.51994356140902,0,-1.70965754331123,0,1
"49",0,0.581471114449402,-0.0619016271168713,0,-0.0892121514997646,0,1
"50",1,0.537034617270075,-0.276819975341165,0,-2.23749804335124,0,1
"51",0,0.507311482838591,2.58300160362416,1,-1.04337037349389,0,1
"52",0,0.469015744465846,2.3190493869325,1,-1.290082474766,0,1
"53",1,0.435925084992464,-2.0943186108026,0,1.73723490832644,0,1
"54",1,0.461744382281571,-1.57802624237207,0,1.56830441107354,0,1
"55",0,0.62258312264746,0.324312348858489,1,0.355793821072831,1,1
"56",0,0.503035216358808,0.142585393581849,1,-0.444634263147504,0,1
"57",1,0.427469372345958,2.92328743149951,1,-0.412600920173186,0,1
